zotero_key,date,year,title,abstract,doi,item_type,publication_status,inclusion_status,application_family,model_group,evidence_tier,evidence_role,pathway,validation_scope,reference_directness,evidence_direction
65MAK4J9,2026,2026,Clay-CNN Hybrids: Leveraging Geospatial Foundation Models as Auxiliary Context for Landslide Detection,"Rapid post-event landslide mapping is essential for disaster response but remains difficult to automate due to extreme class imbalance. This study evaluates whether Clay v1.5, a Geospatial Foundation Model (GFM), can improve pixel-level landslide segmentation on the Landslide4Sense (L4S) benchmark, which contains 3,799 training chips with 14 Sentinel-2 and terrain bands and approximately 2% positive pixels. We compare three strategies: Clay as the primary encoder with multi-scale residual terrain fusion, a U-Net backbone augmented with Clay semantic context at the bottleneck, and a standard U-Net baseline. The hybrid U-Net + Clay model with two-stage Low-Rank Adaptation (LoRA) achieved the best test F1 of 64.5 +/- 1.8% over three seeds, surpassing the Clay-only backbone (55.2 +/- 3.6%) and the U-Net baseline (59.9%). Clay as a standalone encoder underperformed the U-Net due to the absence of multi-scale skip connections, but its pretrained representations consistently improved performance when injected as auxiliary context. These findings suggest that GFMs are most effective for landslide detection when they complement spatially detailed convolutional architectures rather than replace them.",10.48550/arxiv.2606.14081,preprint,Preprint,Primary evidence,Disturbance & hazards,Clay,Tier 3,Benchmark,Fine-tuning / PEFT,Benchmark holdout,Product / mapped label,Positive
TQAXWFHC,2026-3-14,2026,Detection of wildfire burn scars in the UK using geospatial foundation models,"Wildfires are posing ecological and social challenges in the United Kingdom [1]. Therefore, it is important to better understand this phenomenon and locate the wildfires to identify their contributing factors. However, the analysis of UK wildfires is mainly based on the European Forest Fire Information System (EFFIS) [2], which uses MODIS and VIIRS imagery [1]. Due to the moderate pixel resolution of these satellites, only fires greater than 30 hectares are reliably recorded. This is a limitation for the study of UK wildfires as 99% are smaller than 30 hectares [1]. Thanks to higher resolution sensors such as Sentinel-2 MSI and Landsat 8 OLI, it has now become possible to map smaller wildfires [3]. However, we have found no evidence that these sensors were used to locate smalla wildfires in the UK. Recently, geospatial foundation models have made significant improvements in the processing of satellite imagery. More specifically, Prithvi-EO-2.0 [4] and TerraMind [5] have outperformed typical machine learning models in many applications. With this work, we studied how the Prithvi-EO-2.0 and TerraMind geospatial foundation models generalized and performed for the detection of wildfires in the UK. First, we created a dataset made of Harmonized Landsat and Sentinel images matched to UK EFFIS wildfire polygons (1409 large wildfire polygons covering the UK), as well as wildfire polygons from the UK Dorset region (typically smaller wildfire polygons obtained from 1147 wildfire intervention records of the Dorset Fire Intervention service). Then, we compared the performance of Prithvi-EO-2.0 and TerraMind over this dataset, using different fine-tuning configurations to analyze their performance and generalization capabilities. These models were also compared with typical ML and rule-based wildfire detection methods in order to confirm the relevance of our models. We demonstrated that the use of geospatial foundation models, once fine-tuned over UK wildfire data, allowed us to increase the detection of the wildfire from 0.58 MIoU (rule-based baseline models) and 0.73 MIoU (ML based baseline models) to 0.78 (Prithvi-EO-2.0) and 0.81 (TerraMind) MIoU. We have found that this increase in performance is especially important for the detection of smaller wildfires relevant to our study. This work thus provides a novel approach to detect smaller wildfires in the UK and the rest of the world using geospatial foundation models, but also highlights the necessity to train the geospatial foundation models with diverse data to improve its generalizability. [1] Belcher, C. M et al.: UK wildfires and their climate challenges. Expert Led report prepared for the third climate change risk assessment (2021). [2] San-Miguel-Ayanz, J. et al.: Towards a coherent forest fire information system in Europe: the European Forest Fire Information System (EFFIS) (2002). [3] Filipponi, F.: Exploitation of sentinel-2 time series to map burned areas at the national level: A case study on the 2017 italy wildfires. Remote Sensing, 11(6), 622 (2019). [4] Jakubik, J. et al.: Foundation Models for Generalist Geospatial Artificial Intelligence. Preprint Available on arxiv:2310.18660 (2023). [5] Jakubik, J. et al.: TerraMind: Large-Scale Generative Multimodality for Earth Observation. IEEE/CVF International Conference on Computer Vision (ICCV) (2025).",10.5194/egusphere-egu26-14183,conferencePaper,Conference,Primary evidence,Disturbance & hazards,Multi-model,Tier 3,Application study,Mixed / benchmark,Geographic,Product / mapped label,Positive
J3HIR88M,2026-5-16,2026,"CryoSentinel: A Multimodal Foundation-Model Segmenter for Glacial Lakes in High Mountain Asia from Sentinel-1 SAR, Sentinel-2 Optical, and Copernicus DEM Imagery","Glacial-lake outburst floods (GLOFs) are the dominant climate-driven hazard in High Mountain Asia, and reliable lake-extent segmentation is the prerequisite for every downstream early-warning workflow. We present CryoSentinel, a multimodal foundation-model semantic segmenter built on the IBM/ESA TerraMind 1.0 Large encoder (1.1 B parameters) with a UperNet decoder, fine-tuned on 5,614 co-registered chips spanning the Tien Shan, Zhetysu Alatau, and Ile Alatau ranges of Central Asia. The model jointly ingests Sentinel-1 GRD SAR (VV, VH), Sentinel-2 L2A optical (12 bands), and Copernicus DEM 30 m elevation at 10 m / pixel and is trained under a 17-km-buffered spatial-block-split protocol that rules out lake-level leakage. On the validation split it attains an IoU of 0.9557 at threshold 0.5 with flip-only test-time augmentation, a +4.27 percentage-point improvement over the most directly comparable prior result (Adhikari and Regmi, 2025; arXiv:2512.24117; Sentinel-1-only, IoU 0.9130). On a held-out spatial test split it reports IoU 0.8918; an independent MNDWI cross-check reveals that 7 of the 665 test chips are Kumar-polygon mislabels rather than model failures, and dropping these raises the label-corrected test IoU to 0.9082. We document the eleven configuration corrections that lifted our finetune from 0.825 to 0.9557 IoU, the spatial-block-split protocol, and the label-noise audit procedure in full so the result is reproducible end-to-end. Code (Apache 2.0), pretrained weights, and the 42,237-chip dataset (ODC-By 1.0) are publicly released and assigned permanent DOIs.",10.31223/x5n47b,preprint,Preprint,Primary evidence,"Ecosystems, land cover & cryosphere",TerraMind,Tier 3,Application study,Fine-tuning / PEFT,Within-domain / unclear,Product / mapped label,Positive
VHTJ7TX2,2025,2025,HyBiomass: Global Hyperspectral Imagery Benchmark Dataset for Evaluating Geospatial Foundation Models in Forest Aboveground Biomass Estimation,"Comprehensive evaluation of geospatial foundation models (Geo-FMs) requires benchmarking across diverse tasks, sensors, and geographic regions. However, most existing benchmark datasets are limited to segmentation or classification tasks, and focus on specific geographic areas. To address this gap, we introduce a globally distributed dataset for forest aboveground biomass (AGB) estimation, a pixel-wise regression task. This benchmark dataset combines co-located hyperspectral imagery (HSI) from the Environmental Mapping and Analysis Program (EnMAP) satellite and predictions of AGB density estimates derived from the Global Ecosystem Dynamics Investigation lidars, covering seven continental regions. Our experimental results on this dataset demonstrate that the evaluated Geo-FMs can match or, in some cases, surpass the performance of a baseline U-Net, especially when fine-tuning the encoder. We also find that the performance difference between the U-Net and Geo-FMs depends on the dataset size for each region and highlight the importance of the token patch size in the Vision Transformer backbone for accurate predictions in pixel-wise regression tasks. By releasing this globally distributed hyperspectral benchmark dataset, we aim to facilitate the development and evaluation of Geo-FMs for HSI applications. Leveraging this dataset additionally enables research into geographic bias and generalization capacity of Geo-FMs.",10.1109/lgrs.2025.3610178,journalArticle,Peer reviewed,Primary evidence,"Vegetation, carbon & fuels",Other EOFM,Tier 2,Benchmark,Fine-tuning / PEFT,Geographic,Product / mapped label,Positive
2SHRPHMR,2026,2026,Predicting Viticulture Potential through an Ensemble of U-Net and a Geospatial Foundation Model,"Determining agricultural potential is fundamental to sustainable land management and agricultural planning. Remote sensing data is increasingly valuable as an avenue for agricultural potential due to the cost of traditional methods (surveys, in-situ measurements, soil testing, etc). ImageCLEF AI4Agri 2026: Subtask 1 is concerned with the prediction of viticulture potential in Southern France. The DS@GT ARC's submission for Subtask 1 introduces an ensemble of U-Net and a Geospatial Foundation Model (Prithvi-2.0). Our best model achieved a $\pm$1 accuracy of 68.32 on the leaderboard, ranking 2nd among 7 teams. The implementation for this work is publicly available at https://github.com/dsgt-arc/imageclef-ai4agri-2026 . To be published in CLEF 2026 Working Notes",10.48550/arxiv.2607.08449,preprint,Preprint,Primary evidence,Agriculture & food systems,Prithvi,Tier 3,Application study,Fine-tuning / PEFT,Benchmark holdout,Unclear,Positive
E6SCDNKB,2026-7-21,2026,Reliability Analysis of Agricultural Foundation Models Under Distribution Shift,"Recent geospatial foundation models (GFMs) have shown strong performance for crop yield prediction across regions and spatial scales, but operational deployment requires reliable performance under distribution drift. In agricultural settings, distribution drift may arise through temporal, label, concept, domain, or representation shifts, each of which can alter the relationship between incoming data and model behavior. This paper extends the previously published Fine-Tuning Agricultural Regression Models (FARM) framework, which adapts the Prithvi-EO-2.0-600M Vision Transformer for dense canola yield estimation over the Canadian Prairies, by introducing a systematic drift monitoring and reliability analysis pipeline. The proposed framework measures Mahalanobis, cosine, and Euclidean distances in both input and latent spaces. These distances characterize distributional shifts and allow us to evaluate their relationship with prediction error. Experiments on county-level and 30 m precision-agriculture datasets, spanning a normal growing season (2022) and a drift growing season (2021), show that both input-space and latent-space distances provide a useful signal of drift with latent-space metrics offering the clearest separation of anomalous conditions. At the same time, the results show that large drift scores do not necessarily correspond to large prediction errors. Some out-of-distribution samples are predicted accurately, while some in-distribution samples incur high error. These findings identify a critical gap between drift detection and uncertainty estimation and demonstrate that distributional distance alone is insufficient for operational reliability assessment. The results therefore motivate reliability-aware monitoring strategies for agricultural foundation models that combine drift detection with explicit uncertainty or error estimation in non-stationary environments.",10.3390/rs18142416,journalArticle,Peer reviewed,Primary evidence,Agriculture & food systems,Prithvi,Tier 3,Application study,Fine-tuning / PEFT,Temporal,Direct / in situ,Mixed / conditional
DIC9AC4J,2026-4-11,2026,Optimizing Fine-Tuning of Earth Foundation Models via Multidimensional Latin Hypercube Sampling for Small-Scale Burn Scar Identification,"Identifying small-scale burn scars is critical for global carbon accounting, yet remains computationally challenging due to spectral complexity and ground truth scarcity in heterogeneous landscapes. Conventional deep learning models often fail to generalize in such environments, lacking both domain-specific priors and representative training distributions required for precise segmentation. Here, we show that optimizing the fine-tuning of the Prithvi Earth Foundation Model (EFM) via Multidimensional Latin Hypercube Sampling (LHS) establishes a robust framework for this task. Our comparative analysis reveals that the domain-adapted Prithvi model achieves a Mean Intersection over Union (mIoU) of 0.91, outperforming standard Vision Transformers (ViT) by 31.9% and significantly surpassing reconstruction-based architectures, such as Scale-MAE. We demonstrate that LHS is superior to Simple Random Sampling (SRS) for optimizing foundation models, as it ensures statistical fidelity with a Kolmogorov–Smirnov (KS) statistic below 0.1 and effectively captures the tail distributions of fire weather indices. Furthermore, our framework exhibited exceptional data efficiency, retaining 94.5% of its peak accuracy with only 100 training samples. These findings provide a scalable solution for monitoring small-scale disasters in data-constrained regions and validate the synergy between rigorous sampling strategies and EFMs.",10.3390/fire9040161,journalArticle,Peer reviewed,Primary evidence,Disturbance & hazards,Prithvi,Tier 3,Application study,Fine-tuning / PEFT,Within-domain / unclear,Unclear,Positive
DQX33TX8,2026,2026,Flood Mapping from RGB imagery using a Vision Foundation Model,"Timely, high-resolution maps of flood extent around settlements are essential for emergency response and damage assessment. We consider airborne RGB imagery for flood mapping as it can be collected rapidly at low cost. To produce flood maps, deep learning models for water segmentation are often used. CNN based and small vision transformer models are used. However, they need much data for adaptation to a change of scenery, i.e., another flooding event. Vision foundation models or large vision transformers are known to generalize across domains. Recently, foundation models for Earth observation became available. They are pretrained on satellite data, whose spatial resolution, viewing geometry, and radiometry differ from nadir RGB imagery. Thus, adaptation is required. We investigate how a satellite-pretrained Earth observation foundation model can be adapted to centimeter-scale floodwater mapping from RGB imagery. Specifically, we fine-tune a model we call Prithvi-2.0-UPN consisting of the Prithvi-EO-2.0-600M Vision Transformer combined with a UPerNet decoder for binary water segmentation on two RGB datasets (BlessemFlood21, NeuenahrFlood). In a first experiment we observe that Prithvi-2.0-UPN reaches state-of-the-art results on BlessemFlood21 and NeuenahrFlood, when trained on their datasets. In a second experiment we show that Prithvi-2.0-UPN performs better than state-of-the-art baseline models for transfer to a new flood event (trained on BlessemFlood21, tested on NeuenahrFlood) in a zero-shot setting. However, the performance indicates room for improvement. In this respect, we investigate in a third experiment how performance improves when further fine-tuning the models with small shares of NeuenahrFlood training data: Prithvi-2.0-UPN improves the fastest and reaches almost the performance level when fully trained on NeuenahrFlood, indicating transfer capabilities.",10.48550/arxiv.2606.24120,preprint,Preprint,Primary evidence,Disturbance & hazards,Prithvi,Tier 3,Application study,Fine-tuning / PEFT,Geographic,Product / mapped label,Positive
CQV7BSK4,2024,2024,A Geospatial Approach to Predicting Desert Locust Breeding Grounds in Africa,"Desert locust swarms present a major threat to agriculture and food security. Addressing this challenge, our study develops an operationally-ready model for predicting locust breeding grounds, which has the potential to enhance early warning systems and targeted control measures. We curated a dataset from the United Nations Food and Agriculture Organization's (UN-FAO) locust observation records and analyzed it using two types of spatio-temporal input features: remotely-sensed environmental and climate data as well as multi-spectral earth observation images. Our approach employed custom deep learning models (three-dimensional and LSTM-based recurrent convolutional networks), along with the geospatial foundational model Prithvi recently released by Jakubik et al., 2023. These models notably outperformed existing baselines, with the Prithvi-based model, fine-tuned on multi-spectral images from NASA's Harmonized Landsat and Sentinel-2 (HLS) dataset, achieving the highest accuracy, F1 and ROC-AUC scores (83.03%, 81.53% and 87.69%, respectively). A significant finding from our research is that multi-spectral earth observation images alone are sufficient for effective locust breeding ground prediction without the need to explicitly incorporate climatic or environmental features.",10.48550/arxiv.2403.06860,preprint,Preprint,Primary evidence,Agriculture & food systems,Prithvi,Tier 3,Application study,Mixed / benchmark,Within-domain / unclear,Unclear,Positive
X9NANW72,2026-7-9,2026,Evaluating AlphaEarth and TESSERA Geospatial Embeddings for Machine Learning-Based Burned Area Mapping in Portugal,"Abstract Accurate burned area mapping is essential for wildfire damage assessment, post-fire management and fire regime analysis in fire-prone Mediterranean landscapes. Classical satellite-based approaches typically rely on spectral indices derived from paired pre- and post-fire optical imagery. Recently released geospatial embedding datasets, such as AlphaEarth and TESSERA, provide compact, ready-to-use representations of Earth observation data that may support burned area classification with lower event-specific processing requirements. However, their performance relative to established spectral workflows remains insufficiently assessed. This study compares AlphaEarth and TESSERA against a Sentinel-2 spectral baseline for machine learning-based burned area classification across twenty wildfire events from the official 2024 ICNF burned area catalogue for Portugal. Burned and unburned samples were generated from official fire perimeters using an adaptive, area-proportional sampling strategy. The Sentinel-2 baseline was constructed from pre- and post-fire temporal windows combining original bands, spectral indices and difference features. Random Forest, Support Vector Machine and Gradient Boosting classifiers were evaluated using five-fold GroupKFold cross-validation grouped by fire event, ensuring that no wildfire contributed samples to both training and test sets. TESSERA consistently outperformed AlphaEarth among the embedding-based representations. With Support Vector Machine, TESSERA achieved a mean F1-score of 0.860±0.046, compared with 0.812±0.083 for AlphaEarth. However, neither embedding matched the Sentinel-2 spectral baseline, which achieved the strongest overall performance with a mean F1-score of 0.895±0.027. Both embeddings showed reduced performance when features were extracted from the year following the fire rather than from the fire year itself, with F1-scores decreasing from 0.812 to 0.722 for AlphaEarth and from 0.860 to 0.796 for TESSERA. Spatial prediction maps generated with the best-performing TESSERA/SVM model reproduced coherent burned area patterns for two large fire events, although the quantitative evaluation remained sample-based rather than fully cartographic. These results indicate that geospatial embeddings are promising scalable complements to spectral workflows, rather than direct replacements. TESSERA, in particular, approaches spectral-baseline performance while avoiding event-specific image differencing, making it useful when a single annual feature layer must support the classification of multiple fire events. Nevertheless, when accurate fire dates and suitable Sentinel-2 imagery are available, a purpose-built spectral baseline remains the stronger option.",10.21203/rs.3.rs-10285823/v1,preprint,Preprint,Primary evidence,Disturbance & hazards,Multi-model,Tier 3,Comparative application,Feature extraction,Geographic + temporal,Product / mapped label,Mixed / conditional
STRWGT4Z,2026,2026,From Landslide Conditioning Factors to Satellite Embeddings: Evaluating the Utilisation of Google AlphaEarth for Landslide Susceptibility Mapping using Deep Learning,"Data-driven landslide susceptibility mapping (LSM) typically relies on landslide conditioning factors (LCFs), whose availability, heterogeneity, and preprocessing-related uncertainties can constrain mapping reliability. Recently, Google AlphaEarth (AE) embeddings, derived from multi-source geospatial observations, have emerged as a unified representation of Earth surface conditions. This study evaluated the potential of AE embeddings as alternative predictors for LSM. Two AE representations, including retained principal components and the full set of 64 embedding bands, were systematically compared with conventional LCFs across three study areas (Nantou County, Taiwan; Hong Kong; and part of Emilia-Romagna, Italy) using three deep learning models (CNN1D, CNN2D, and Vision Transformer). Performance was assessed using multiple evaluation metrics, ROC-AUC analysis, error statistics, and spatial pattern assessment. Results showed that AE-based models consistently outperformed LCFs across all regions and models, yielding higher F1-scores, AUC values, and more stable error distributions. Such improvement was most pronounced when using the full 64-band AE representation, with F1-score improvements of approximately 4% to 15% and AUC increased ranging from 0.04 to 0.11, depending on the study area and model. AE-based susceptibility maps also exhibited clearer spatial correspondence with observed landslide occurrences and enhanced sensitivity to localised landslide-prone conditions. Performance improvements were more evident in Nantou and Emilia than in Hong Kong, revealing that closer temporal alignment between AE embeddings and landslide inventories may lead to more effective LSM outcomes. These findings highlight the strong potential of AE embeddings as a standardised and information-rich alternative to conventional LCFs for LSM.",10.48550/arxiv.2601.07268,preprint,Preprint,Primary evidence,Disturbance & hazards,AlphaEarth,Tier 3,Comparative application,Feature extraction,Geographic,Product / mapped label,Positive
9FE5MACF,2025,2025,GraphFire-X: Physics-Informed Graph Attention Networks and Structural Gradient Boosting for Building-Scale Wildfire Preparedness at the Wildland-Urban Interface,"As wildfires increasingly evolve into urban conflagrations, traditional risk models that treat structures as isolated assets fail to capture the non-linear contagion dynamics characteristic of the wildland urban interface (WUI). This research bridges the gap between mechanistic physics and data driven learning by establishing a novel dual specialist ensemble framework that disentangles vulnerability into two distinct vectors, environmental contagion and structural fragility. The architecture integrates two specialized predictive streams, an environmental specialist, implemented as a graph neural network (GNN) that operationalizes the community as a directed contagion graph weighted by physics informed convection, radiation, and ember probabilities, and enriched with high dimensional Google AlphaEarth Foundation embeddings, and a Structural Specialist, implemented via XGBoost to isolate granular asset level resilience. Applied to the 2025 Eaton Fire, the framework reveals a critical dichotomy in risk drivers. The GNN demonstrates that neighborhood scale environmental pressure overwhelmingly dominates intrinsic structural features in defining propagation pathways, while the XGBoost model identifies eaves as the primary micro scale ingress vector. By synthesizing these divergent signals through logistic stacking, the ensemble achieves robust classification and generates a diagnostic risk topology. This capability empowers decision makers to move beyond binary loss prediction and precisely target mitigation prioritizing vegetation management for high connectivity clusters and structural hardening for architecturally vulnerable nodes thereby operationalizing a proactive, data driven approach to community resilience.",10.48550/arxiv.2512.20813,preprint,Preprint,Primary evidence,Disturbance & hazards,AlphaEarth,Tier 3,Application study,Mixed / benchmark,Within-domain / unclear,Unclear,Positive
MTQARBSD,2026-1-30,2026,Assessing the Utility of Satellite Embedding Features for Biomass Prediction in Subtropical Forests with Machine Learning,"Spatial predictions of forest biomass at regional scale in forests are critical to evaluate the effects of management practices across environmental gradients. Although multi-source remote sensing combined with machine learning has been widely applied to estimate forest biomass, these approaches often rely on complex data acquisition and processing workflows that limit their scalability for large-area assessments. To improve the efficiency, this study evaluates the potential of annual multi-sensor satellite embeddings derived from the AlphaEarth Foundations model for forest biomass prediction. Using field inventory data from 89 forest plots at the Yunhe Forestry Station in Zhejiang Province, China, we assessed and compared the performance of four machine learning algorithms: Random Forest (RF), Support Vector Regression (SVR), Multi-Layer Perceptron Neural Networks (MLPNN), and Gaussian Process Regression (GPR). Model evaluation was conducted using repeated 5-fold cross-validation. The results show that SVR achieved the highest predictive accuracy in broad-leaved and mixed forests, whereas RF performed best in coniferous forests. When all forest types were modeled together, predictive performance was consistently limited across algorithms, indicating substantial heterogeneity (e.g., structure, environment, and topography) among forest types. Spatial prediction maps across Yunhe Forestry Station revealed ecologically coherent patterns, with higher biomass values concentrated in intact forests with less human disturbance and lower biomass primarily occurring in fragmented forests and near urban regions. Overall, this study highlights the potential of embedding-based remote sensing for regional forest biomass estimation and suggests its utility for large-scale forest monitoring and management.",10.3390/rs18030436,journalArticle,Peer reviewed,Primary evidence,"Vegetation, carbon & fuels",AlphaEarth,Tier 2,Comparative application,Feature extraction,Within-domain / unclear,Mixed,Positive
EEI2JUBW,2025,2025,Cropland Mapping using Geospatial Embeddings,"Accurate and up-to-date land cover maps are essential for understanding land use change, a key driver of climate change. Geospatial embeddings offer a more efficient and accessible way to map landscape features, yet their use in real-world mapping applications remains underexplored. In this work, we evaluated the utility of geospatial embeddings for cropland mapping in Togo. We produced cropland maps using embeddings from Presto and AlphaEarth. Our findings show that geospatial embeddings can simplify workflows, achieve high-accuracy cropland classification and ultimately support better assessments of land use change and its climate impacts. 8 pages, 11 figures",10.48550/arxiv.2511.02923,preprint,Preprint,Primary evidence,Agriculture & food systems,AlphaEarth,Tier 3,Application study,Feature extraction,Within-domain / unclear,Product / mapped label,Positive
A5QWXV2S,2025-10-31,2025,Estimating River Water Quality Indicators in South Korea Using AlphaEarth Embeddings,"Water quality monitoring is essential for river management and ecosystem protection, yet in situ networks remain sparse relative to the spatial and temporal variability of rivers.This study evaluates whether geospatial foundation model embeddings can support scalable river water quality estimation.We combined annual observations from South Korea's national monitoring network (2017-2024) with AlphaEarth Foundation embeddings (64-dimensional latent features at 10 m resolution) and trained gradient-boosted trees to predict eight indicators.Reduced feature sets matched or exceeded the full model, while excluding spatial coordinates degraded performance, underscoring their importance.Across indicators, models achieved robust agreement with in situ data (overall out-of-sample R0.62-0.89).Pixelwise predictions resolved coherent spatial structure and interannual variation across four major rivers, though narrow shoreline edges displayed atypical values.Recurring embedding features were identified across multiple targets, suggesting that AlphaEarth encodes latent properties of inland waters.While limited by the available temporal span and spatial coverage, the results demonstrate that geospatial foundation embeddings enable accurate and transferable estimation of river water quality and provide reusable features for future aquatic and environmental applications.",10.7780/kjrs.2025.41.5.10,journalArticle,Peer reviewed,Primary evidence,"Water, energy & climate states",AlphaEarth,Tier 2,Application study,Feature extraction,Temporal,Direct / in situ,Positive
TPT2PEMB,2025,2025,Scalable Geospatial Data Generation Using AlphaEarth Foundations Model,"High-quality labeled geospatial datasets are essential for extracting insights and understanding our planet. Unfortunately, these datasets often do not span the entire globe and are limited to certain geographic regions where data was collected. Google DeepMind's recently released AlphaEarth Foundations (AEF) provides an information-dense global geospatial representation designed to serve as a useful input across a wide gamut of tasks. In this article we propose and evaluate a methodology which leverages AEF to extend geospatial labeled datasets beyond their initial geographic regions. We show that even basic models like random forests or logistic regression can be used to accomplish this task. We investigate a case study of extending LANDFIRE's Existing Vegetation Type (EVT) dataset beyond the USA into Canada at two levels of granularity: EvtPhys (13 classes) and EvtGp (80 classes). Qualitatively, for EvtPhys, model predictions align with ground truth. Trained models achieve 81% and 73% classification accuracy on EvtPhys validation sets in the USA and Canada, despite discussed limitations. 15 pages, 10 figures, 5 tables",10.48550/arxiv.2508.11739,preprint,Preprint,Primary evidence,"Ecosystems, land cover & cryosphere",AlphaEarth,Tier 3,Application study,Probe / reconstruction,Geographic,Unclear,Positive
ZSZ3JV87,2025-8-20,2025,Within- and cross-regional crop classification for cool climate upland agriculture using AlphaEarth.,"Accurate crop classification is essential for precision agriculture, policy making, and environmental monitoring.While Google AlphaEarth provides powerful analysis-ready geospatial data with high-dimensional embedded vectors, its applicability for crop classification is limited and cross-regional transferability remains untested.This study evaluated within-and crossregional performance of crop classification using AlphaEarth across three cool climate agricultural regions: Northern Europe (Germany), Northern Japan (Hokkaido), and Northern US (Michigan).Within-region crop classification achieved high overall accuracy (91.4-99.1%)irrespective of regions and classifiers (support vector machine, random forest, and partial least squares).However, cross-regional transfer showed limited success.While models trained using Japanese dataset exhibited high accuracy (88.0-94.9%) in US dataset, reverse transfer (i.e.trained with US dataset and tested with Japanese dataset) and other combinations of transfer did not result in accurate classification.This study demonstrated (1) the utility of AlphaEarth as input data for regional-level crop classification, and (2) the limitations of AlphaEarth for cross-regional crop classification.",10.31220/agrirxiv.2025.00354,preprint,Preprint,Primary evidence,Agriculture & food systems,AlphaEarth,Tier 3,Application study,Feature extraction,Geographic,Unclear,Positive
5QGV6AS5,2025,2025,Deep Learning-Based Burned Area Mapping Using Bi-Temporal Siamese Networks and AlphaEarth Foundation Datasets,"Accurate and timely mapping of burned areas is crucial for environmental monitoring, disaster management, and assessment of climate change. This study presents a novel approach to automated burned area mapping using the AlphaEArth dataset combined with the Siamese U-Net deep learning architecture. The AlphaEArth Dataset, comprising high-resolution optical and thermal infrared imagery with comprehensive ground-truth annotations, provides an unprecedented resource for training robust burned area detection models. We trained our model with the Monitoring Trends in Burn Severity (MTBS) dataset in the contiguous US and evaluated it with 17 regions cross in Europe. Our experimental results demonstrate that the proposed ensemble approach achieves superior performance with an overall accuracy of 95%, IoU of 0.6, and F1-score of 74% on the test dataset. The model successfully identifies burned areas across diverse ecosystems with complex background, showing particular strength in detecting partially burned vegetation and fire boundaries and its transferability and high generalization in burned area mapping. This research contributes to the advancement of automated fire damage assessment and provides a scalable solution for global burn area monitoring using the AlphaEarth dataset.",10.48550/arxiv.2509.07852,preprint,Preprint,Primary evidence,Disturbance & hazards,AlphaEarth,Tier 3,Application study,Feature extraction,Geographic,Product / mapped label,Positive
IGXEH3V4,2026-1-15,2026,Streamlining Wetland Vegetation Mapping with AlphaEarth Embeddings: Comparable Accuracy to Traditional Methods with Cleaner Maps and Minimal Preprocessing,"Accurate mapping of wetland vegetation is essential for ecosystem monitoring and conservation planning. Traditional workflows combining Sentinel-1 SAR, Sentinel-2 optical imagery, and topographic data have advanced vegetation classification but require extensive preprocessing and often yield fragmented boundaries and “salt-and-pepper” noise. In this study, we compare a conventional multi-sensor classification framework with a novel embedding-based approach derived from the AlphaEarth foundation model, using a cluster-guided Random Forest classifier applied to the dynamic wetland system of Narran Lake, New South Wales. Both approaches achieved high accuracy ac with test performance typically in the ranges: OA = 0.985–0.991, Cohen’s κ = 0.977–0.990, weighted F1 = 0.986–0.991, and MCC = 0.977–0.990. Embedding based maps showed markedly improved spatial coherence (lower edge density, local entropy, and patch fragmentation), producing smoother, ecologically consistent boundaries while requiring minimal preprocessing. Differences in class delineation were most evident in fire-affected and agricultural areas, where embeddings demonstrated greater resilience to spectral disturbance and post-fire variability. Although overall accuracies exceeded 0.98, these high values reflect the use of spectrally pure, homogeneous training samples rather than overfitting. The results highlight that embedding-driven methods can deliver cleaner, more interpretable vegetation maps with far less data preparation, underscoring their potential to streamline large-scale ecological monitoring and enhance the spatial realism of wetland mapping.",10.3390/rs18020293,journalArticle,Peer reviewed,Primary evidence,"Ecosystems, land cover & cryosphere",AlphaEarth,Tier 3,Application study,Feature extraction,Within-domain / unclear,Product / mapped label,Positive
JIGCF8Z8,2026,2026,Embedding -based Crop Type Classification in the Groundnut Basin of Senegal,"Crop type maps from satellite remote sensing are important tools for food security, local livelihood support and climate change mitigation in smallholder regions of the world, but most satellite-based methods are not well suited to smallholder conditions. To address this gap, we establish a four-part criteria for a useful embedding-based approach consisting of 1) performance, 2) plausibility, 3) transferability and 4) accessibility and evaluate geospatial foundation model (FM) embeddings -based approaches using TESSERA and AlphaEarth against current baseline methods for a region in the groundnut basin of Senegal. We find that the TESSERA -based approach to land cover and crop type mapping fulfills the selection criteria best, and in one temporal transfer example shows 28% higher accuracy compared to the next best method. These results indicate that TESSERA embeddings are an effective approach for crop type classification and mapping tasks in Senegal.",10.48550/arxiv.2601.16900,preprint,Preprint,Primary evidence,Agriculture & food systems,Multi-model,Tier 3,Application study,Feature extraction,Temporal,Product / mapped label,Positive
